Status,Area,Response,Justification,Type,Confidence,Priority
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
⚠️ Error,N/A,Please fill all fields,N/A,N/A,0%,N/A
